business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SANA BEAUTY CARE AND SALON SPA,Spa Equipment Suppliers,Spa and health club,Spa and health club,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 76958 08035,N/A,4.1,31.0,"Millenium Plaza, Pillayar kovil, No 31 crown complex, back side, Vivekananda Street, Thiru Nagar, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Thiru Nagar",12.953094799999999,79.13578059999999,ChIJH9muMlhHrTsRRMHsDpuL0Xo,https://www.google.com/maps/place/?q=place_id:ChIJH9muMlhHrTsRRMHsDpuL0Xo,part_270,2026-09-20 19:02:01,2858
U & Me Beauty Spa,Spa Equipment Suppliers,Spa,Spa,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,5.0,1.0,"No. 71, near COLLECTOR OFFICE, near Collector's Office Road, M.P. Sarathy Nagar, Kagithapattarai, Collectorate, Vellore, Tamil Nadu 632009","M.P. Sarathy Nagar, Kagithapattarai, Collectorate",12.9345857,79.14907509999999,ChIJGU77Uo84rTsRWd0DExHnWLU,https://www.google.com/maps/place/?q=place_id:ChIJGU77Uo84rTsRWd0DExHnWLU,part_270,2026-09-20 19:02:01,2859
GLOW WORMS UNISEX FAMILY SPA,Spa Equipment Suppliers,Massage spa,Massage spa,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99522 86166,N/A,4.0,8.0,"VIT Rd, Old Katpadi, Andal Nagar, Katpadi, Vellore, Tamil Nadu 632014","Old Katpadi, Andal Nagar, Katpadi",12.9687539,79.1460165,ChIJr7OGuUdHrTsRQWE58UbEA-A,https://www.google.com/maps/place/?q=place_id:ChIJr7OGuUdHrTsRQWE58UbEA-A,part_270,2026-09-20 19:02:01,2860
BLUE HERBOCARE KERALA MASSAGE SPA,Spa Equipment Suppliers,Spa and health club,Spa and health club,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,,,"X593+RMF, Vellore, Tamil Nadu 632014",632001,12.969570899999999,79.154161,ChIJW5YjXABHrTsRiGaoyX57PC4,https://www.google.com/maps/place/?q=place_id:ChIJW5YjXABHrTsRiGaoyX57PC4,part_270,2026-09-20 19:02:01,2861
GREEN PARADISE REJUVENATION CENTER,Spa Equipment Suppliers,Massage therapist,Massage therapist,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99629 40303,N/A,5.0,2.0,"sri sai baba street, 6, Ezhil Nagar Rd, Ezhil Nagar, Allapuram, RV Nagar, Vellore, Tamil Nadu 632001","Ezhil Nagar, Allapuram, RV Nagar",12.892761,79.13037709999999,ChIJoYJRccY_rTsRd3ElFyiLaMY,https://www.google.com/maps/place/?q=place_id:ChIJoYJRccY_rTsRd3ElFyiLaMY,part_270,2026-09-20 19:02:01,2862
Beauty Centre,Spa Equipment Suppliers,Beauty supply store,"Beauty supply store, Barber supply store, Beauty product supplier, Beauty Products Wholesaler, Beauty Parlour, Massage supply store, Nail salon, Tattoo supply store, Training center",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 80 4204 7792,http://www.beautycentre.co.in/,4.6,,"No.9, OTC Road, Opp ICICI Bank, near Sharda Theatre, Bengaluru, Karnataka 560002","Halsurpete, Nagarathpete",12.965237499999999,77.5843864,ChIJHzUwc-AVrjsRYh3JSSyQRfs,https://www.google.com/maps/place/?q=place_id:ChIJHzUwc-AVrjsRYh3JSSyQRfs,part_270,2026-09-20 19:02:02,2863
Steamers India,Spa Equipment Suppliers,Bathroom supply store,"Bathroom supply store, Health and beauty shop, Hospital equipment and supplies, Hot tub store, Sauna, Sauna store, Shower door shop, Spa and health club, Sports Accessories Wholesaler, Store equipment supplier",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 98222 69769,https://www.steamersindia.in/,4.7,,"Survey No. 55, Plot No. 512, Lane No. 14, Hans Kutti, Ashram Abdul Kalam Chowk, Bhagyoday Nagar, Shivneri Nagar, Kondhwa, Pune, Maharashtra 411048","Bhagyoday Nagar, Shivneri Nagar, Kondhwa",18.473953299999998,73.8867854,ChIJC9jJwjfAwjsRDiuF-IJIKjE,https://www.google.com/maps/place/?q=place_id:ChIJC9jJwjfAwjsRDiuF-IJIKjE,part_270,2026-09-20 19:02:02,2864
Vaibhav Stores,Spa Equipment Suppliers,Beauty supply store,"Beauty supply store, Beauty product supplier, Beauty Products Wholesaler, Cosmetics industry, Cosmetics store, Furniture accessories supplier, Furniture wholesaler",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 78296 32084,https://www.vaibhavstores.in/?utm_source=Google+Map+Pack&utm_medium=Local+SEO&utm_campaign=GMB,4.6,,"F3, 1091, Nagarathpet Main Rd, above ICICI Bank, Halsurpete, Nagarathpete, Bengaluru, Karnataka 560002","Halsurpete, Nagarathpete",12.9655582,77.58462589999999,ChIJE6vvLOAVrjsRA5gGrhkKJto,https://www.google.com/maps/place/?q=place_id:ChIJE6vvLOAVrjsRA5gGrhkKJto,part_270,2026-09-20 19:02:02,2865
Ambika beauty palace,Spa Equipment Suppliers,Beauty Products Wholesaler,"Beauty Products Wholesaler, Cosmetics store",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 93629 99153,N/A,4.8,,"118, nimmkayala street, Gandhi Rd, circel, Tirupati, Andhra Pradesh 517501","circel, Varadaraja Nagar",13.6318205,79.41953649999999,ChIJca8Khn5LTToRJ7e97hCb5KQ,https://www.google.com/maps/place/?q=place_id:ChIJca8Khn5LTToRJ7e97hCb5KQ,part_270,2026-09-20 19:02:02,2866
SPA POWER SYSTEMS,Spa Equipment Suppliers,Battery Wholesaler,Battery Wholesaler,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 98427 17247,N/A,5.0,1.0,"opp. Government Hospetal, Vellore, addukumparai, Tamil Nadu 632011",632002,12.8456715,79.1358661,ChIJ_4YFMeoVrTsRyyIT8IYRtg4,https://www.google.com/maps/place/?q=place_id:ChIJ_4YFMeoVrTsRyyIT8IYRtg4,part_270,2026-09-20 19:02:39,5722
VIR Traders,Spa Equipment Suppliers,Cleaning products supplier,Cleaning products supplier,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 90807 81488,N/A,5.0,2.0,"W4GR+267, Main Bazaar Rd, Saidapet, Vellore, Tamil Nadu 632012",Saidapet,12.9250481,79.1405347,ChIJoQEspJ05rTsRi2a02vOCRhc,https://www.google.com/maps/place/?q=place_id:ChIJoQEspJ05rTsRi2a02vOCRhc,part_270,2026-09-20 19:02:39,5723
A S MARKETING AGENCY,Spa Equipment Suppliers,Abrasives supplier,"Abrasives supplier, Building materials supplier",632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 98846 86144,N/A,5.0,3.0,"Kagithapattarai, 260/2, near Kangeyan Gas Agency, LIC Colony, Vellore, Tamil Nadu 632012","LIC Colony, Kagithapatarai",12.931095899999999,79.14248429999999,ChIJd3-rP-A4rTsRi8-PMx3tPBU,https://www.google.com/maps/place/?q=place_id:ChIJd3-rP-A4rTsRi8-PMx3tPBU,part_270,2026-09-20 19:02:39,5724
SAI SPA SOLUTION,Spa Equipment Suppliers,Cleaning products supplier,Cleaning products supplier,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 80 3730 3415,N/A,5.0,2.0,"B-112, near Hanuman Mandir, Bhayandar, Navghar Naka, Bhayandar East, Thane, Mira Bhayandar, Maharashtra 401105","Bhayandar, Navghar Naka, Bhayandar East",19.3076887,72.8630515,ChIJLdFiEymw5zsRCBsHQMa9_Hs,https://www.google.com/maps/place/?q=place_id:ChIJLdFiEymw5zsRCBsHQMa9_Hs,part_270,2026-09-20 19:02:40,5725
