business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
TURBAN UNISEX SALON & HAIR SPA,Unisex Salon,Beauty Parlour,Beauty Parlour,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96771 83183,N/A,4.9,62.0,"1st floor, Regional Transport Office Rd, near DARLING DIGITAL SHOW ROOM, Phase 2, Sathuvachari, Vellore, Tamil Nadu 632009","Phase 2, Sathuvachari",12.9349946,79.1561632,ChIJBz6W4qBHrTsRlqSYgMCfGX4,https://www.google.com/maps/place/?q=place_id:ChIJBz6W4qBHrTsRlqSYgMCfGX4,part_270,2026-09-20 19:02:00,2820
GREEN TRENDS UNISEX HAIR & STYLE SALON,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Bridal shop, Eyelash salon, Facial spa, Make-up artist, Spa, Stylist, Hairdresser, Waxing hair removal service",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 416 406 0500,https://salons.mygreentrends.in/salon-in-gandhi-nagar-vellore-tamilnadu,4.8,926.0,"First Floor, no.6, 4th East Cross Rd, opposite City Union Bank, Suthanthira Ponvizha Nagar, Gandhi Nagar, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Gandhi Nagar",12.958412899999999,79.1403496,ChIJKXwni5NHrTsRLWTWyyItLus,https://www.google.com/maps/place/?q=place_id:ChIJKXwni5NHrTsRLWTWyyItLus,part_270,2026-09-20 19:02:00,2821
DREAM BIG SALON HAIR& BEAUTY,Unisex Salon,Beauty Parlour,Beauty Parlour,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 98949 37731,N/A,4.8,27.0,"DREAM BIG saloon Bagayam Bus Stop, Arni Road, SH 9, Bagayam, Tamil Nadu 632002",632001,12.8796793,79.1347545,ChIJ3dx-NuM5rTsRCRdP_3jqAMU,https://www.google.com/maps/place/?q=place_id:ChIJ3dx-NuM5rTsRCRdP_3jqAMU,part_270,2026-09-20 19:02:00,2822
Naturals Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Nail salon, Hairdresser",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 73395 15557,https://salons.naturals.in/naturals-salon-beauty-salons-thiruvalam-vellore-304369/Home?utm_source=locator&utm_medium=googleplaces,4.8,572.0,"1 & 2, 11th Gate, Road, next to Paras Mahal, Thangal, Thiruvalam, Brahmapuram, Tamil Nadu 632014","Thangal, Thiruvalam",12.9665207,79.1634406,ChIJeZN2SitHrTsRTQ1tU05Ji4U,https://www.google.com/maps/place/?q=place_id:ChIJeZN2SitHrTsRTQ1tU05Ji4U,part_270,2026-09-20 19:02:00,2823
Green Trends,Unisex Salon,Beauty Parlour,"Beauty Parlour, Bridal shop, Hair salon, Make-up artist",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 416 225 4333,https://www.mygreentrends.in/,4.6,1631.0,"1st floor, 638, Regional Transport Office Rd, Nehru Nagar, Phase 2, Sathuvachari, Vellore, Tamil Nadu 632009","Nehru Nagar, Phase 2, Sathuvachari",12.933940999999999,79.15642799999999,ChIJO9H06mI4rTsRtzVylFaBKTc,https://www.google.com/maps/place/?q=place_id:ChIJO9H06mI4rTsRtzVylFaBKTc,part_270,2026-09-20 19:02:01,2824
STUDIO 96 UNISEX SALON AND ACADEMY,Unisex Salon,Beauty Parlour,Beauty Parlour,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 99408 54306,N/A,4.5,92.0,"262, Phase 2, Sathuvachari, Vellore, Tamil Nadu 632009","Phase 2, Sathuvachari",12.9346109,79.1556516,ChIJJTkOYwg5rTsRuCjTo1AGgww,https://www.google.com/maps/place/?q=place_id:ChIJJTkOYwg5rTsRuCjTo1AGgww,part_270,2026-09-20 19:02:01,2825
LURE N CHIC,Unisex Salon,Beauty Parlour,Beauty Parlour,632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",N/A,N/A,4.6,,"18, Arni Rd, Bagayam, Vellore, Tamil Nadu 632002",632001,12.879249699999999,79.13461819999999,ChIJJ6j0Mjc5rTsRuBl_rfRa04M,https://www.google.com/maps/place/?q=place_id:ChIJJ6j0Mjc5rTsRuBl_rfRa04M,part_270,2026-09-20 19:02:01,2826
Naturals Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Hair salon, Make-up artist, Massage spa, Spa, Stylist, Hairdresser, Waxing hair removal service",632001,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore H.O, Kasba S.O (Vellore), Kosapet S.O (Vellore)",+91 96555 19050,https://salons.naturals.in/naturals-salon-beauty-salons-gudiyatham-vellore-298225/Home?utm_source=locator&utm_medium=googleplaces,4.7,,"No 18/2c, R.S.Road, above Andhra Bank, Kondasamuthiram, Arunachala Nagar, Gudiyatham, Tamil Nadu 632602","Kondasamuthiram, Arunachala Nagar",12.944461599999999,78.8762033,ChIJI2wiFC9trTsR38QnTeLLSEQ,https://www.google.com/maps/place/?q=place_id:ChIJI2wiFC9trTsR38QnTeLLSEQ,part_270,2026-09-20 19:02:02,2827
Elegant Landmark unisex Salon & Academy vellore,Unisex Salon,Beauty Parlour,Beauty Parlour,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 96989 06532,https://landmarkunisexsalon.com/,4.9,,"1st Floor,Canara Bank Upstairs,Boys High School,RDO Office Road, Anaicut Rd, Tamil Nadu 632101",632002,12.875697899999999,78.98824739999999,ChIJRazJI4YVrTsR_DuCnw5IKPo,https://www.google.com/maps/place/?q=place_id:ChIJRazJI4YVrTsR_DuCnw5IKPo,part_270,2026-09-20 19:02:38,5713
AARA unisex salon & bridal studio( Dream24),Unisex Salon,Beauty Parlour,Beauty Parlour,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 98942 51701,N/A,4.5,,"First floor :124a, Regional Transport Office Rd, Sathuvachari, Vellore, Tamil Nadu 632009","Phase 2, Sathuvachari",12.932639199999999,79.1566691,ChIJ46PiSD45rTsRIEUhTVErVpQ,https://www.google.com/maps/place/?q=place_id:ChIJ46PiSD45rTsRIEUhTVErVpQ,part_270,2026-09-20 19:02:39,5714
TAMIL SALOON SHOP,Unisex Salon,Beauty Parlour,Beauty Parlour,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 97864 79930,N/A,4.8,,"No.02, TK PURAM, Church Colony, Viruthampattu, Vellore, Tamil Nadu 632006","Church Colony, Viruthampattu",12.9428819,79.1321495,ChIJD1QT1aE4rTsRAMgnogjDfwQ,https://www.google.com/maps/place/?q=place_id:ChIJD1QT1aE4rTsRAMgnogjDfwQ,part_270,2026-09-20 19:02:40,5715
Essensuals by Toni & Guy.,Unisex Salon,Beauty Parlour,"Beauty Parlour, Spa, Hairdresser",632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 97869 69911,N/A,4.5,,"No:5, Apl towers, 63, Katpadi - Vellore Rd, near Bombay Anantha bavan, Gandhi Nagar, Vellore, Tamil Nadu 632006","Suthanthira Ponvizha Nagar, Venkatraman Nagar, Gandhi Nagar",12.959938699999999,79.13688619999999,ChIJB4s9UGtHrTsRNRPFazJ9GLU,https://www.google.com/maps/place/?q=place_id:ChIJB4s9UGtHrTsRNRPFazJ9GLU,part_270,2026-09-20 19:02:40,5716
Naturals Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Hair salon, Nail salon",632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",+91 80563 22422,https://salons.naturals.in/naturals-salon-beauty-salons-ranipet-vellore-298210/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"No 13, C/1, R R Rd, above More Super Market, Ranipet, Vellore, Tamil Nadu 632401",632002,12.926464,79.3324595,ChIJacyvvQw1rTsRQyo7LZOPlS8,https://www.google.com/maps/place/?q=place_id:ChIJacyvvQw1rTsRQyo7LZOPlS8,part_270,2026-09-20 19:02:40,5717
Royal sallon,Unisex Salon,Hair salon,Hair salon,632002,Tamilnadu circle,Chennai City Region,Vellore Division,"Chitteri B.O, Edayansathu B.O, Palamathi B.O",N/A,N/A,5.0,,"53/E, Arni Rd, near to JJ Ravi Hospital, Sivaraj Nagar, Virupatchipuram, RV Nagar, Vellore, Tamil Nadu 632002","Sivaraj Nagar, Virupatchipuram, RV Nagar",12.8919579,79.1355425,ChIJ9X7kWZU5rTsRsUyF1FcA-m8,https://www.google.com/maps/place/?q=place_id:ChIJ9X7kWZU5rTsRsUyF1FcA-m8,part_270,2026-09-20 19:02:40,5718
New Prem Saloon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair salon",632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",N/A,N/A,4.7,9.0,"W4FP+7HC, Latheef Basha Street, Latheef Basha Street, Lathief Basha Street, Vellore, Tamil Nadu 632004",Sripuram,12.9231754,79.1363981,ChIJG5xJNes4rTsROawjaGEX83A,https://www.google.com/maps/place/?q=place_id:ChIJG5xJNes4rTsROawjaGEX83A,part_270,2026-09-20 19:03:17,8213
Geo Trendz Boutique & Parlour,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beauty supply store, Boutique, Bridal shop, Designer Clothing Store, Embroidery service, Fashion designer, Tailor, Hairdresser, Waxing hair removal service",632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 96261 83999,N/A,4.0,25.0,"1ST FLOOR, GATE NO.2, 92 75, IDA Scudder Rd, opp. to CMC OPD, Beripettai, Vellore, Tamil Nadu 632004",Beripettai,12.9239458,79.1355032,ChIJ--ArzLo5rTsRJEn-eUl1LbU,https://www.google.com/maps/place/?q=place_id:ChIJ--ArzLo5rTsRJEn-eUl1LbU,part_270,2026-09-20 19:03:17,8214
Saloon New Park,Unisex Salon,Hair salon,Hair salon,632004,Tamilnadu Circle,Chennai City Region,Vellore Division,"Vellore Fort S.O, Bakiyath S.O, CHRISTIAN MEDICAL COLLEGE HOSPITAL S.O",+91 98436 57069,N/A,4.3,6.0,"135, Main Bazaar Rd, near Chada Sahik moauos, Sripuram, Main Bazar, Vellore, Tamil Nadu 632004","Sripuram, Main Bazar",12.9220714,79.13672249999999,ChIJJ4sCQes4rTsRV2IUhqXInhM,https://www.google.com/maps/place/?q=place_id:ChIJJ4sCQes4rTsRV2IUhqXInhM,part_270,2026-09-20 19:03:17,8215
