business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Gnanam Graphics,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Commercial printer, Custom label printer, Digital printing service, Invitation printing service, Print shop",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 98432 77840,http://www.youtube.com/@gnanamgraphicss,4.9,565.0,"5/3032-15, Muneeswaran Colony, Subramaniapuram Colony, Viswanatham, Tamil Nadu 626189","Muneeswaran Colony, Subramaniapuram Colony",9.4472238,77.8103728,ChIJ5SKUZgzPBjsRvvgyyBdVpRY,https://www.google.com/maps/place/?q=place_id:ChIJ5SKUZgzPBjsRvvgyyBdVpRY,part_262,2026-09-20 19:02:18,4783
Indus Offset Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Book publisher, Bookbinder, Print shop",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 90920 94487,N/A,4.7,13.0,"20A, Velayutham Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4646964,77.7986294,ChIJ5a8cJVbOBjsR61gh2EvNIrQ,https://www.google.com/maps/place/?q=place_id:ChIJ5a8cJVbOBjsR61gh2EvNIrQ,part_262,2026-09-20 19:02:18,4784
Kavitha Offset Printers,Printing Press and Offset Printer,Print shop,Print shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94433 79275,http://www.kavithaprinting.com/,4.6,42.0,"2/447, Viswanatham Rd, Deivanai Nagar, Parapatti, Sivakasi, Tamil Nadu 626123","Deivanai Nagar, Parapatti",9.440902,77.801329,ChIJ7WtKP93OBjsRVeyxe7teXtk,https://www.google.com/maps/place/?q=place_id:ChIJ7WtKP93OBjsRVeyxe7teXtk,part_262,2026-09-20 19:02:18,4785
Sree Pakiyalakshimi Offset Printers,Printing Press and Offset Printer,Offset Printer,Offset Printer,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94433 46396,N/A,4.9,16.0,"4/725 A-9 P.S.K. Nagar, Hussian Colony, Kiltiruthangal, Tamil Nadu 626189",Kamarajapuram Colony,9.457260999999999,77.809266,ChIJeYHaDPHOBjsRGt8AvUOocIo,https://www.google.com/maps/place/?q=place_id:ChIJeYHaDPHOBjsRGt8AvUOocIo,part_262,2026-09-20 19:02:18,4786
Annalakshmi Offset printing press,Printing Press and Offset Printer,Offset Printer,Offset Printer,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94433 78521,http://annalakshmioffset.com/,4.6,18.0,"CRQ3+6GM, road, Jayarathinam nagar, Viswanatham, Tamil Nadu 626189","Jayarathinam nagar, Viswanatham",9.438099,77.80380459999999,ChIJr7v1u0zPBjsRBDwaV7ZkEyY,https://www.google.com/maps/place/?q=place_id:ChIJr7v1u0zPBjsRBDwaV7ZkEyY,part_262,2026-09-20 19:02:18,4787
Red Hill Prints,Printing Press and Offset Printer,Manufacturer,"Manufacturer, Offset Printer",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94433 36153,https://redhillprints.com/,4.9,103.0,"477 D, Vishalakshi Nagar, Gnanagiri Rd, Lakshmi Nagar, Sivakasi, Tamil Nadu 626189","Vishalachi Nagar, Lakshmi Nagar",9.4610038,77.80429889999999,ChIJczC6zHPPBjsRgIzJAE9THFE,https://www.google.com/maps/place/?q=place_id:ChIJczC6zHPPBjsRgIzJAE9THFE,part_262,2026-09-20 19:02:18,4788
Sutharsan offset printers,Printing Press and Offset Printer,Manufacturer,Manufacturer,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99524 24780,http://sutharsanoffsetprinters.com/,4.5,2.0,"2/678-N,5th Street,K.S.A.Rajadurai Nagar,Near Jaycees School,Vilampatti, Road, Anaiyur, Tamil Nadu 626123","K.S.A.Rajadurai Nagar, Kaliappa Nagar",9.441650899999999,77.7802475,ChIJO38wclDPBjsROmg_U8EADhg,https://www.google.com/maps/place/?q=place_id:ChIJO38wclDPBjsROmg_U8EADhg,part_262,2026-09-20 19:02:18,4789
Sivakasi Offset Printers,Printing Press and Offset Printer,Invitation printing service,"Invitation printing service, Greeting card shop, Print shop",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94421 21821,http://enakukalyanam.in/,4.7,15.0,"125,PKN Road, Sivakasi, Tamil Nadu 626189",Senayapuram Colony,9.450241,77.804982,ChIJ9wrzA-_OBjsRfuz1L0ia5a4,https://www.google.com/maps/place/?q=place_id:ChIJ9wrzA-_OBjsRfuz1L0ia5a4,part_262,2026-09-20 19:02:18,4790
Grace Offset Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Commercial printer, Invitation printing service, Manufacturer, Print shop, Packaging company",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 63695 01739,https://graceoffsetprinters.lyzoo.co.in/,5.0,41.0,"643, Bypass Rd, opp. to south Indian bank, Solai Colony, Senayapuram Colony, Sivakasi, Tamil Nadu 626189","Solai Colony, Senayapuram Colony",9.452232799999999,77.805014,ChIJAcPV3GjPBjsR1GrMFMVVwes,https://www.google.com/maps/place/?q=place_id:ChIJAcPV3GjPBjsR1GrMFMVVwes,part_262,2026-09-20 19:02:18,4791
Thilagam Offset Printers,Printing Press and Offset Printer,Print shop,Print shop,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",N/A,N/A,5.0,18.0,"9/4 B, P K S A, Arumugam Rd., Sivakasi, Tamil Nadu 626123",Senayapuram Colony,9.4533835,77.8010086,ChIJt0VUh4nPBjsRvmYfJzx4nZs,https://www.google.com/maps/place/?q=place_id:ChIJt0VUh4nPBjsRvmYfJzx4nZs,part_262,2026-09-20 19:02:18,4792
Shunmuga Art Printers Private Limited,Printing Press and Offset Printer,Book publisher,"Book publisher, Toy manufacturer",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 89205 34213,N/A,4.7,25.0,"kanna nagar, 2/1033, Naranapuram Rd, Senayapuram Colony, Kiltiruthangal, Tamil Nadu 626189",Senayapuram Colony,9.4537515,77.81806879999999,ChIJ2dQFdZLOBjsRvrJ6ICAAoBE,https://www.google.com/maps/place/?q=place_id:ChIJ2dQFdZLOBjsRvrJ6ICAAoBE,part_262,2026-09-20 19:02:18,4793
Senthil Offset Printers Sivakasi,Printing Press and Offset Printer,Offset Printer,Offset Printer,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 99444 30233,https://www.senthiloffsetprinters.com/,4.7,44.0,"528, Railway Feeder Rd, Parasakthi Colony, Sivakasi, Tamil Nadu 626123",Parasakthi Colony,9.4596281,77.79109369999999,ChIJoUj6Hv7OBjsRTFEqUUBgxxc,https://www.google.com/maps/place/?q=place_id:ChIJoUj6Hv7OBjsRTFEqUUBgxxc,part_262,2026-09-20 19:02:18,4794
Sri Dinesh Offset Printers,Printing Press and Offset Printer,Commercial printer,Commercial printer,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94431 31057,N/A,4.4,22.0,"1/472 F, Pallapatti Rd, near TTL Lions School, Thiruthangal, Sivakasi, Tamil Nadu 626130",Thiruthangal,9.4703962,77.81406439999999,ChIJJ-EiWWfOBjsRQwhytYUzYQM,https://www.google.com/maps/place/?q=place_id:ChIJJ-EiWWfOBjsRQwhytYUzYQM,part_262,2026-09-20 19:02:18,4795
Muthumalaiamman fine arts,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Commercial printer, Custom label printer, Print shop, Sticker Manufacturer",626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 90807 01997,http://www.muthumalaiammanfinearts.com/,5.0,52.0,"247, Jawaharlal Nehru Rd, opposite to SAFFIRE SCAN, Senayapuram Colony, Sivakasi, Tamil Nadu 626123",Senayapuram Colony,9.4521111,77.7985733,ChIJrWVwI8rPBjsRGBeaq1L3ZCs,https://www.google.com/maps/place/?q=place_id:ChIJrWVwI8rPBjsRGBeaq1L3ZCs,part_262,2026-09-20 19:02:18,4796
Bishop art printers,Printing Press and Offset Printer,Commercial printer,Commercial printer,626189,Tamilnadu Circle,"Southern Region, Madurai",Virudhunagar Division,"Sivakasi East SO, Anuppankulam BO, Meenampatti BO",+91 94421 40060,http://bishopartprinters.in/,4.8,184.0,"Periyandavar Complex, 862/2, Bypass Rd, Senayapuram Colony, Sivakasi, Tamil Nadu 626189",Senayapuram Colony,9.452014,77.806677,ChIJR7kbQO7OBjsRgRNr5uM_Jxk,https://www.google.com/maps/place/?q=place_id:ChIJR7kbQO7OBjsRgRNr5uM_Jxk,part_262,2026-09-20 19:02:18,4797
